File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\alert.js,99,45,11,8,28,1,26,125,18,107
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\bootstrap.js,2280,1405,443,219,549,47,326,1775,18,106
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\bootstrap.min.js,6,1,252,0,0,0,5,15,5,15
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\button.js,110,55,15,8,28,0,27,132,18,107
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\carousel.js,218,142,31,28,50,2,26,127,18,107
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\collapse.js,180,110,19,19,44,1,26,126,18,107
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\dropdown.js,155,84,17,22,44,3,27,142,18,107
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\modal.js,247,159,38,18,62,6,26,145,18,107
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\plugins.js,69,42,36,3,19,2,8,74,1,9
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\popover.js,118,59,16,13,31,0,28,144,18,107
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\scrollspy.js,159,99,20,16,34,1,26,125,18,107
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tab.js,136,76,18,11,34,2,26,128,18,107
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tooltip.js,387,263,60,38,96,1,28,163,19,116
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\transition.js,57,26,12,4,10,0,21,114,18,107
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\index.html,53,47,0,0,6,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\phantom.js,64,51,20,10,7,5,6,79,2,7
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\server.js,15,7,2,0,4,0,4,11,4,11
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\unit\affix.js,26,19,5,0,7,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\unit\alert.js,63,48,14,0,15,0,0,0,0,0
D:\Program Files (x86)\EasyPHP-5.3.9\www\gyp2\wp-content\themes\gyp2\js\tests\unit\button.js,117,100,13,0,17,0,0,0,0,0
